id,name,category,description,price,image,stock
1,bat,bat,,340.0,,0
7,Football,Football,FIFA Quality Football,1200.0,,30
8,Badminton Racket,Badminton,Lightweight Carbon Racket,2500.0,,12
9,Cricket Bat,Cricket,Premium English Willow Bat,3400.0,,15
10,Football,Football,FIFA Quality Football,1200.0,,30
11,Badminton Racket,Badminton,Lightweight Carbon Racket,2500.0,,12
12,Cricket Bat,Cricket,Premium English Willow Bat,3400.0,,15
13,Football,Football,FIFA Quality Football,1200.0,,30
14,Badminton Racket,Badminton,Lightweight Carbon Racket,2500.0,,12
16,Football,Football,FIFA Quality Football,1200.0,,30
17,Badminton Racket,Badminton,Lightweight Carbon Racket,2500.0,,12
18,Cricket Bat,Cricket,Premium English Willow Bat,3400.0,,15
19,Football,Football,FIFA Quality Football,1200.0,,30
21,basketBall,Basketball,this si basket ball ,234.0,,45
